stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
44.641811,0,6578,-63.636502,,,,,Downs Ave Before Milsom St (6578),0,6578,
44.771627,0,6579,-63.693316,,,,,Downsview Plaza Before Sackville Dr (6579),0,6579,
44.685881,0,7458,-63.584378,,,,,Pinecrest Dr At Crystal Dr (7458),0,7458,
44.684885,0,7459,-63.58257,,,,,Pinecrest Dr Before Primrose St (7459),0,7459,
44.653792,0,8493,-63.646569,,,,,Willett St After Main Ave (8493),0,8493,
44.656623,0,8492,-63.649451,,,,,Willett St After Glenforest Dr (8492),0,8492,
44.657558,0,8491,-63.652515,,,,,Willett St After Dunbrack St (8491),0,8491,
44.65195,0,8490,-63.644986,,,,,Willett St After Cornation Ave (8490),0,8490,
44.658104,0,8497,-63.654213,,,,,Willett St Before Harlington Cr (8497),0,8497,
44.659974,0,8496,-63.655968,,,,,Willett St Before Chadwick Pl (8496),0,8496,
44.656324,0,8495,-63.648975,,,,,Willett St Opposite Glenforest Dr (8495),0,8495,
44.654656,0,8494,-63.647217,,,,,Willett St After Main Ave (8494),0,8494,
44.655169,0,8499,-63.647745,,,,,Willett St Before Apollo Ct (8499),0,8499,
44.652641,0,8498,-63.645501,,,,,Willett St Before Adelaide Ave (8498),0,8498,
44.674333,0,6536,-63.564489,,,,,Crichton Ave Before Hawthorne St (6536),0,6536,
44.671423,0,6537,-63.564245,,,,,Crichton Ave Before Ochterloney St (6537),0,6537,
44.67628,0,6534,-63.563677,,,,,Crichton Ave After Boathouse Ln (6534),0,6534,
44.638978,0,8292,-63.574528,,,,,South St After Queen St (8292),0,8292,
44.638571,0,8295,-63.576398,,,,,South St After South Park St (8295),0,8295,
44.639517,0,8294,-63.572408,,,,,South St Before Church St (8294),0,8294,
44.636912,0,8297,-63.583584,,,,,South St Before Robie St (8297),0,8297,
44.63667,0,8296,-63.584148,,,,,South St After Robie St (8296),0,8296,
44.649376,0,6143,-63.719427,,,,,St Margarets Bay Rd Opposite Civic 1982 (6143),0,6143,
44.721693,0,6142,-63.678531,,,,,Basinview Dr After Roy Cr (6142),0,6142,
44.724876,0,6141,-63.682738,,,,,Basinview Dr Opposite Granville Rd (6141),0,6141,
44.718348,0,6140,-63.681228,,,,,Basinview Dr Before Glen Moir Terr (6140),0,6140,
44.637191,0,6147,-63.700282,,,,,St Margarets Bay Rd Before North Green Rd (6147),0,6147,
44.645362,0,6145,-63.711847,,,,,St Margarets Bay Rd At Civic 1817 (6145),0,6145,
44.636308,0,6144,-63.680863,,,,,St Margarets Bay Rd After Beech Tree Run (6144),0,6144,
44.648238,0,6149,-63.717425,,,,,St Margarets Bay Rd At Civic 1939 (6149),0,6149,
44.644189,0,6148,-63.708303,,,,,St Margarets Bay Rd Before Wilbert Devoe Cr (6148),0,6148,
44.68969,0,6927,-63.585861,,,,,Highfield Park Dr After True North Cr (6927),0,6927,
44.657719,0,6781,-63.591681,,,,,Gottingen St Before North St (6781),0,6781,
44.654944,0,6780,-63.58767,,,,,Gottingen St Before Buddy Daye St (6780),0,6780,
44.661839,0,6783,-63.597686,,,,,Gottingen St Before Russell St (6783),0,6783,
44.661166,0,6782,-63.596627,,,,,Gottingen St Before Russell St (6782),0,6782,
44.658446,0,6785,-63.592486,,,,,Gottingen St Before Black St (6785),0,6785,
44.716076,0,6784,-63.681342,,,,,Hammonds Plains Rd After Doyle St (6784),0,6784,
44.655624,0,6787,-63.588716,,,,,Gottingen St After Uniacke St (6787),0,6787,
44.653706,0,6786,-63.58584,,,,,Gottingen St Opposite Prince William St (6786),0,6786,
44.614616,0,6789,-63.476073,,,,,Caldwell Rd After Kaleigh Dr (6789),0,6789,
44.686037,0,6921,-63.590153,,,,,Highfield Park Dr Before Civic 65 (6921),0,6921,
44.688198,0,6920,-63.58896,,,,,Highfield Park Dr At Civic 60 (6920),0,6920,
44.688635,0,6922,-63.587772,,,,,Highfield Park Dr At Civic 35 (6922),0,6922,
44.691956,0,6369,-63.532859,,,,,Caledonia Rd Before Paul David Ct (6369),0,6369,
44.68536,0,6368,-63.529852,,,,,Caledonia Rd Before Main St (6368),0,6368,
44.690699,0,6363,-63.532367,,,,,Caledonia Rd Before Strath Ln (6363),0,6363,
44.695947,0,6362,-63.535378,,,,,Caledonia Rd Before Gourok Ave (6362),0,6362,
44.699888,0,6361,-63.537804,,,,,Caledonia Rd After Montebello Dr (6361),0,6361,
44.688928,0,6360,-63.531274,,,,,Caledonia Rd Before Westwood Dr (6360),0,6360,
44.69357,0,6367,-63.533867,,,,,Caledonia Rd Before Dumbarton Ave (6367),0,6367,
44.687521,0,6366,-63.530789,,,,,Caledonia Rd Before Roleika Dr (6366),0,6366,
44.699679,0,6365,-63.697436,,,,,Larry Uteck Blvd Before Kearney Lake Rd (6365),0,6365,
44.698141,0,6364,-63.53666,,,,,Caledonia Rd After Stanfield Ave (6364),0,6364,
44.684598,0,7210,-63.556819,,,,,Micmac Blvd At Civic 10 (7210),0,7210,
44.686759,0,7211,-63.563629,,,,,Micmac Blvd Before Horizon Ct (7211),0,7211,
44.723108,0,7212,-63.709657,,,,,Bluewater Rd After Topsail Ct (7212),0,7212,
44.686693,0,7213,-63.56355,,,,,Micmac Blvd After Horizon Ct (7213),0,7213,
44.684828,0,7214,-63.56745,,,,,Micmac Blvd After Woodland Ave (7214),0,7214,
44.685283,0,7215,-63.568273,,,,,Micmac Blvd Before Woodland Ave (7215),0,7215,
44.72165,0,7216,-63.712024,,,,,Bluewater Rd After Command Ct (7216),0,7216,
44.72003,0,7217,-63.714241,,,,,Bluewater Rd At Civic 217 (7217),0,7217,
44.67029,0,6217,-63.641449,,,,,Bedford Hwy After Seton Rd (6217),0,6217,
44.672711,0,6216,-63.644205,,,,,Bedford Hwy At MSVU (6216),0,6216,
44.777348,0,6215,-63.695206,,,,,Beaver Bank Rd After Douglas Ave (6215),0,6215,
44.780541,0,6214,-63.692867,,,,,Beaver Bank Rd Before Gloria Ave (6214),0,6214,
44.780439,0,6213,-63.693004,,,,,Beaver Bank Rd After Gloria Ave (6213),0,6213,
44.777409,0,6212,-63.695324,,,,,Beaver Bank Rd After Judy Ave (6212),0,6212,
44.633935,0,6211,-63.595035,,,,,Beaufort Ave Before South St (6211),0,6211,
44.632546,0,6210,-63.592304,,,,,Beaufort Ave Before Oakland Rd (6210),0,6210,
44.673021,0,6219,-63.644401,,,,,Bedford Hwy Opposite MSVU (6219),0,6219,
44.72183,0,6218,-63.711424,,,,,Bluewater Rd After Command Ct (6218),0,6218,
44.730715,0,6819,-63.754069,,,,,Hammonds Plains Rd At Civic 1541 (6819),0,6819,
44.720559,0,6818,-63.687475,,,,,Hammonds Plains Rd Before Brookshire Ct (6818),0,6818,
44.732776,0,6811,-63.76099,,,,,Hammonds Plains Rd After Lucasville Rd (6811),0,6811,
44.735683,0,6810,-63.794486,,,,,Hammonds Plains Rd After Pockwock Rd (6810),0,6810,
44.722018,0,6813,-63.823288,,,,,Hammonds Plains Rd After Northwood Rd (6813),0,6813,
44.724724,0,6812,-63.737558,,,,,Hammonds Plains Rd After Crestfield Dr (6812),0,6812,
44.707438,0,6815,-63.848752,,,,,Hammonds Plains Rd After Stillwater Lake Dr (6815),0,6815,
44.714063,0,6814,-63.834172,,,,,Hammonds Plains Rd After Rockcliffe Cr (6814),0,6814,
44.727042,0,6817,-63.744401,,,,,Hammonds Plains Rd After St George Blvd (6817),0,6817,
44.726194,0,6816,-63.741187,,,,,Hammonds Plains Rd After St George Blvd (6816),0,6816,
44.794685,0,7324,-63.721914,,,,,Sackville Dr Opposite Wilson Lake Dr (7324),0,7324,
44.766891,0,7325,-63.682967,,,,,Sackville Dr Before Leaside Dr (7325),0,7325,
44.796513,0,7326,-63.731684,,,,,Sackville Dr Before Orchard Dr (7326),0,7326,
44.764224,0,7327,-63.676488,,,,,Sackville Dr Before Pinehill Dr (7327),0,7327,
44.782303,0,7320,-63.710962,,,,,Sackville Dr Before Lucasville Rd (7320),0,7320,
44.785512,0,7321,-63.713123,,,,,Sackville Dr Before Melham Dr (7321),0,7321,
44.781474,0,7322,-63.707746,,,,,Sackville Dr Before Millwood Dr (7322),0,7322,
44.763142,0,7323,-63.674764,,,,,Sackville Dr Before Oakdale Dr (7323),0,7323,
44.764473,0,7328,-63.677101,,,,,Sackville Dr Opposite Pinehill Dr (7328),0,7328,
44.769869,0,7329,-63.689085,,,,,Sackville Dr Before Riverside Dr (7329),0,7329,
44.658266,0,8848,-63.529535,,,,,Baker Dr Opposite Civic 220 (8848),0,8848,
44.699133,0,8849,-63.663511,,,,,Larry Uteck Blvd After Bedford Hwy (8849),0,8849,
44.668681,0,8840,-63.507773,,,,,Portland Hills Dr Before Hillspire Gr (8840),0,8840,
